Mandarin,English,Audio
我,I,1.mp3
你,You,2.mp3
的,Of,3.mp3
是,Be,4.mp3
了,The,5.mp3
他,He,6.mp3
么,What,7.mp3
们,They,8.mp3
在,In,9.mp3
有,Have,10.mp3
这,This,11.mp3
那,That,12.mp3
不,Not,13.mp3
什,Even,14.mp3
个,A,15.mp3
来,Come,16.mp3
要,Wish,17.mp3
就,On,18.mp3
一,A,19.mp3
人,People,20.mp3
里,In,21.mp3
会,Can,22.mp3
没,Not,23.mp3
她,She,24.mp3
吗,Do,25.mp3
去,Go,26.mp3
也,Also,27.mp3
说,Say,28.mp3
为,For,29.mp3
好,Good,30.mp3
吧,It,31.mp3
知道,Know,32.mp3
和,And,34.mp3
你的,Your,35.mp3
想,Want,36.mp3
只,Only,37.mp3
很,Very,38.mp3
都,Both,39.mp3
对,To,40.mp3
把,To,41.mp3
啊,Ah,42.mp3
怎,How,43.mp3
得,Get,44.mp3
还,Also,45.mp3
过,Cross,46.mp3
不是,No,47.mp3
到,To,48.mp3
能,Can,50.mp3
事,Thing,51.mp3
看,See,52.mp3
我們,We,53.mp3
上,On,54.mp3
给,To,55.mp3
可以,Can,56.mp3
斯,Sri Lanka,58.mp3
做,Do,59.mp3
儿,Child,60.mp3
时,Time,61.mp3
点,Point,62.mp3
开,Open,63.mp3
让,Let,64.mp3
就是,Is,65.mp3
但,But,66.mp3
呢,It,67.mp3
它,It,69.mp3
這,This,70.mp3
如果,If,71.mp3
跟,With,72.mp3
邪,Evil,73.mp3
听,Listen,74.mp3
克,Gram,75.mp3
再,Again,76.mp3
快,Fast,77.mp3
嗎,Do,78.mp3
被,Be,79.mp3
是的,Yes,80.mp3
大,Large,81.mp3
先生,Mr.,82.mp3
别,Do not,83.mp3
告,Tell,84.mp3
谢,Thank,86.mp3
哦,Oh,87.mp3
话,Words,88.mp3
见,See,90.mp3
当,When the,91.mp3
该,That,93.mp3
西,Western,94.mp3
子,Child,95.mp3
已,Already,96.mp3
會,Can,97.mp3
小,Small,98.mp3
爱,Love,99.mp3
特,Special,100.mp3
